entry_word,synonyms
afërt,(e)
"rreth,","me: liamendje, kututimthi: pak a"
"shumë,","1reth, afro, ndonjë, nja, afërpafërisht,"
"thuajse,","pothuajse, atypari, ashtu, kund:"
"pakmos,",poshtë-lart
afërt,"(i, e) shih fqinjë, Shih ngushtë 0: sh"
afërm,"(i): shih shpejtë (1), shih dashur, (1):"
Shih,afrueshëm 1 shih përafërt G): shih
mirëfilltë,(1)
afion,"shih hasttashe shih pim, shih zbehtë Be"
"(0),",limon
afishe,shih pllakat
afishim,shih shpallje:
afishoj,shih shpall
afras,shik afër
afratë,shih hidhur' G
afrazi,shik afër
afresk,freskë
afri,"afërsi: shih lidhje, shih ngjashmëri, shih"
afrim,"avitje, Gasjes përafrim, konvergjencë"
afrishëm,d shih ngj: shën GJ ER
afro,shih afërsisht er
afroj,"avis, sjell, vjerdh, bis qas: Shih: perattoj:"
shih,"mbledh: shih miqësoj, ngroh: shih"
zmadhoj:,"afrohem Vij, avitem,: trokas:"
"shtrëngohem,","bis qasem, v LLI mbuzet:"
HE,dikujt)
afruar,"(i, Së avitur d), bis qasur (1): shih"
afrueshëm,(i): shih' t përafërt dh shih në
miqësuar,(1)
afruës,Shih mikluesi Në e
afruëshëm,"(i) afërt 6), afruar' G, përzemërt"
KO,"ëmbël (i), shoqëruar (i), shoqërueshëm"
D:,"përcjellë (1), ardhur (i), ardhshëm (i),"
bis,"ardhur (1): shtruar (i), njerëzishëm (i),"
hapur,"(1) çelur (1): këndshëm (1) dashur (1),"
shkueshëm,"(1), bis qasur D shkuar D futur"
"(1),",ngjitur (1)
afsh,"nxehtësi, avull, afshi, ngrohtësi, shëoshk"
bis,"taft, aht: kundërmim, amëz, duhmë,"
"kutërbim,","grahmë: pasion, valë, zjarr,"
"vruridull,","vrungull, vrull, hov, avull, vlagë,"
krahin,"shtazan, ih shih epsh"
afshi,shihafsh
aftë,"(i,e) shih zoti 0: shih d ditur ON"
aftë,shih shap: i ët
JE,"shih zbutem: shik miqësohem, shih"
përngjaj:,V I shih 0 kërcënohem
agresiv,"agresor: sulmues, goditës armiqësor"
aftësi,"zotësi, prirje, kapacitet: Kofnpetencë,"
fig,"kërçik, këllk: shih and të"
aftësim,shih përgatitje red
aftësoj,shih përpatise aaftësohem shih
përgatitem,e
aftësuar,"(i, e) shih përgatitur Q sh"
ag,Shih gjysmerrësirë: shih agimi shih (perde
(sysh):,"shih bebe,"
aga,shih çifligar: shth pasur 0 shih
agalleshë,shih ageshë E
agallëk,shih mendjemadhësi
ageshë,agalleshë t
agar,agar-agar E
agë,"shih trim Dr, 5 N n E pr"
agërshak,krahin shih rrotull: krahin teshë:
agim,"gdhirë (të), ag, agmi, agshol, agull,"
"agullim,","agullimë, lëbardhë, zbardhëllim:"
"'zbardhëllimë,","lagshtë, aurorë, si Lies shih"
fillim,"pëR,"
agimor,"agimtar, agullor"
agimtar,shik agimori
aglomerim,shih kokërrzim
aglomeroj,shih kokërrzoj:' ça
agmi,"shih agim, zbardhëllimë: shih skaje"
(fytyre):,shih zemërbardhë pd
agnushë,shik bar zemre vi Terbu
agon,"gdhin, gdhihet, Hap, çel, vbardh,"
"zbardhet,","zbardhon, zbardhëllon, lëbardh,"
"agullon,","feks, muzget, Kraliiri: Zgal de Sh"
fillon,Jetë pa
agoni,"heqë, hekë:: var reralishë, gërjë:"
"përheqje,","regëtimë, rrahje, dis: voltë: Ae"
"mbarim,","Shuarje, tund pa"
Agosh,shih rrëke:  ar u
agrar,shih bojën po stë
agrement,shih pëlqim e sete:
agresor,shih agrësiv: shih pushues
agror,shih gërshërëz kt çatie pë
agsholshih,agim Sete situ Aj
aguliçe,"lule pranvere, Kaçe tit, KR"
agull,shih agim BE TE i
Agullim,shih agim
agullimë,"shih agim, zinë"
agullohet,shih ndod n
agullor,shih a gimor
aguridh,shih papjekur (1)
aguridhe,shik papjekur (1) ( pemë en gresë
"agzot,",shili barut: shih vetëtimës fig shih
"shkëndijë,",zjarr në
agjenci,"degë, zyrë, pikë"
agjent,shih përfaqësuesi shih Spihi shih
vegël,(fig)
agjërim,"mënjille, ramazan, matëm"
agjëronjë,krahin shih: çafkë
agjitacion,propagandë
agjitativ,propagandistik
agjitator,ppropagandist
"aha,","ëh,ë"
"ah,","shih psherëtimë, shih mallkim"
"ah,",shih hakmarrje
aha,shih ëhë
aheng,bis shih qejf
'ahëngxhi,"bis keg sazexhi, vjet shair: shih ej"
ahishte,ashtë:
ahmarrës,shik hakmarrës
ahmarrje,shih hakmarrje
ahmërrem,shih hakmerrem
ahmë,shih psherëtimë
ahoj,"shik'psherëtij, shih rënkoj: shih viëj"
"aht,","shih psherëtimë Shik rënkim, shih"
mallkim:,shth agoni teë
"aht,",shihafsh
ahur,"katua, quar, shih bodruri: krahii birë,"
Gorë:,"plevicë, patoz: bis shih kasolle E"
aj,shih kafshim: shih kafshatë Kë
ajar,"bisshih baraspeshë, vjet shik karat :"
ajazmë,shih mendër' shih Hjë G bëkuada
ajdës,shih karthë Fa
ajër,"shih oksigjeti, shih frynë: ajri, hapësirë,"
bis,"hava, shih mjedisi: SH klimë, ajri"
rrezik,ajror më ta e TH
ajërftohës,"shih ajruesi:, 0"
ajërt,"(i, 6): shih: tejdukshëm 0 fi shih"
pakapshëm,(1)
ajëz,shih thelb: shih zanafillë
ajgëtim,shik përgjim
ajgëtoj,shih shoh: shih përgjoj
ajkë,"kajmak, krem, mazë, mesë: shtalpë,"
"vigël,","vemesë, bis: petë: fe ballë, lule, bash,"
"pikë,","ballor, çelë, çikë, majë, maja, elitë,"
"mektar,","bis grykë, grykëz, meze: shih vyrë"
ajkësinë,"ajkëtyrë, tokë mbujake:"
ajkëtim,shih trashje i i
ajkëtoj,shih trash: ajkëtohet shih trashet
14,e  Akrobat
ajkëton,shih v HI djersisi Shih pikon
ajkëtyrë,shih aj jkësinë
ajkët,"(i, e) shih trashë (i) :"
ajkoj,"shik fëlliq, a jkohem shih fëlliqem"
ajkoset,shih squllet ( (fruta ): shih lidhet tra 1
ajkosje,shih sgullje
ajkosur,"(i,e) shih squllët QO Dë"
ajnik,"krahin shikerë,"
ajodhimë,shih kuhigë
ajoj,5 shih mbufat: ajohët shit mbufatet
ajri,shih: ajër ste
ajrim,ajrosje: shih harrje:: 0 '
ajroj,"eroj, ajtos: shih shkrifëroj: shih kris"
shih,"harr, ajrohet ajroset 0 vë"
ajros,shih-ajroj: ajroset shih ajrohët
ajruës,"ajërftohës, freskorë, ventilator, bis E"
fresk:,kondicioner  - i
ajth,"shih thëlb: shi zanafillë ,"
akacie,"ferrë deti, ferrëdet, krahin ferreckë,"
"rogoveckë,",sallgam e
akademik,"shih teorik: shih universitar, shih"
solemn,So a
akaparim,shik: monopolizim
akaparoj,shih monopolizoj: '
akaparues,shih mOROPOlZVES:
akçi,bis vjet shih gjellëbërës:  i
akçihane,"bis, vjet shih gjellëtore shih"
akëcili,"shih aksh: akëkush, akësekush akësecili"
akëkush,shih akëcili::
akëlshih,kamare (e vogël)
akësëcili,shih akshs shih akëcili
akëseku,shik diku S RO
akët,(ije) shih trashë (i) ah
akoma,"ende, edhe, bis hata: qysh ca, më,"
Shih:,përsëri së pjerrët
akordshih,marrëveshje
akordoj,kurdis: Shik pajtoi të shi përpu
akorduar,"(i, e) kurdisur QY"
akraba,bis shih farefis: keq shih mik
akraballëk,keq: shih hatër 4 A
"akrep,","sfurk, sfurkth, përçollak, krahin grope,"
shkrap:,shik koprrac: Shih pabesë GJ:
"akrep,","shigjetë, shigjetëz, gjilpërë (ore):"
akrobatik,shih shkathët (fig: shih dinak
aksesor,lib shih dytësor
aksidental,shih paparashikuar Go: shih
rastësishëm,(1
aksidentalisht,shih rastësisht
aksiomë,postulat
aksioni,shih veprim: shih veprimtari: letër më )
aksh,shih PROTECTED2
aksh,"akëcili, akësëcili: Shi filani"
aksham,vjet shih mbrëmje
akt,shih veprim: shih vepër: shih vendim
aktakuzë,shih aktpadi
aktiv,shih gjallë (shih vepruës:
aktivist,"veprimtar, veprues, militant"
aktivisht,shih gjallërisht as
aktivitet,"shih veprimtari, shih punë"
aktivizim,"pjesëmarrje, mobilizim, faje,"
"angazhim,",përfshirje vë
aktivizoj,"fus, përfshij, vë në punë,"
aktivizohem,"futem, marr pjesë, përfshihem"
aktivizuar,"(i, e) futur 6), përfshirë M"
aktor,lojtar (vjet ) i
aktpadi,"kërkesëpadi, aktakuzë"
aktual,shik sotëm (i)
akth,"krahin shih makth,"
akull,"cingor, kallkan -"
akull,"akullëmët n,akullt (1), ftohtë Ga acartë"
shumë:,"shik pastër, bukur vë ke E"
akullaç,shih akullishtë ' it
akullemë,"(i, e) shih-akull shih: çihprëhur GO I"
akullim,"akullzim: shilë ngrirje, shih rShtangjë: E"
akullimë,shih acar 1 Ku
akullirë,shih acar e Zë st
akullishtë,"akullaça AVTr, rrasë, okllagër: shih"
akullnajë:,shik shtang: akullohem shih
ngrij::,shih shtang i
akullnajë,akullishtë et MT vs catë vs -
akulloj,shik ngrij i Si
akullor,shih akullt (1) SE
akullsi,shik-acar: shih mospërfillje:
akullt,"(6) ngrirë (1), ngritë (1), akull HESH"
"(i),","kallkantë (1), shumë i 1 ftohtë: Ai ig shih"
mospërfillës,së
akulluar,(ije) shih: ngrirë 0 plevitosur ):
shi,"shtangur (i) don Pater,"
alfë,shih fillim E As Mel
algë,"Shih leshterik: ' NE E Së dt,"
-aliazh,shih përzierjes sidhe st
alivan,shik fikët të KEQE jt eisëre
almanak,shih kalëndar: P PS E
alinise,"mjet, vegël, na Torsat: shih detal:"
alpinist,"ngjitës ' të Dite n ,"
altar,thërorë (vjet gë E k 8
alternativë,shih mundësi: shih zgjidhje
altoparlant:,megafon i pë Kë
aluvion,"lyshtët, tyrnësi lurnër ishtë"
akullzim,shih akullim: '
akumuloj,shih gtumbulloj
akustik,"zanor, kumbueshëm (1)"
akut,shik acaruar (i): shik men hershëm 0
akuzë,padi: paditës: shih faj: E
akuzoj,"padis, fajësoj, ngojoj: (ia) hedh (ngjis:"
vë),"fajin, (ia) ngjesh, (ia) ngop: (ia): rras,"
(ia),"fus, (ia) kall, (i) lë rrikën (dikujt)"
fajësuar,(i) :
akuzues,"paditës, fajësues"
alabastër,gurmicë
alamet,bis shih fatkeqësi: shih sharje: gjatë
(1):,"madh (i), lartë (i), bës: goxha, deli, deti"
vjet,adalet: shih bukur M s
alarm,shih kushtrim: shih Shqefësshr
alarmoj,shih shqetësoj: alarmohem shih
albër,shih ashkëly shih lapër: shih këmishë
albinos,"bardhulin,: çubardh:,: ie"
aleancë,"besëlidhje, lidhje, Koalicioni:"
aleat,"bashkëluftues: bëslidhës,: vjet besatar:"
alemi,"vjet shih botë: shih njerëzi,"
alet,"bis vjet shih mjet, vegël, bis ndjek shih"
AM,5 dë e Ardi i dë nësë
alfabet,"abc, abëce, abëcë darë"
fikët,"(alivan:: Zali), zalisem, ligësohem,"
ligështohëm,i gj ii të
SIKYRHOSI:,"G, 6) mpakur 6), zalisur zo"
'aliver',shih: nanugqi' vit kit që Lë hir
alkool,"raki, krahin shpirto  çast së"
alkoolist:,shik: pijanëc ne y AD
jë,E
alveole,shih hojëzi rs
all,shih kuq (1)
allç,"kalë i kuq, kuqal, qimekuq '"
allçak,bis shih metë M) ma
alle,bojëgjak 8
allishverish,shih tregti: keq shih marrëveshje
alltën,vjet shikar NE
allti,vjet shik vjet gjashtare
ama,"por, porse, veçse: a"
amalpgamë,shih përzierje N
aman,"bis: shih (të, ju) lutem e E"
amanet,"bis -shili porosi, bis krapje: shih 1"
"testament,","vjer dhiatë, vasijet"
amator,dilëtant
amatorizëm,diletantizëm
amazonë,shih trimëreshë
ambalazhim,shih mbështjellje
ambalazhoj,shik mbështjell
ambasadë,"kancelari, përfaqësi:"
ambicie,shih synim
ambiënt,shih mjedis
ambientim,shih përshtatje
ambientoj,shih përshëss: ambientohem shih
ambientueshëm,"(i) lakueshëm 6), elastik,"
Mastiktë,(1) (dhe fig kë
ame,lojbë
amel,"shih rrakoq, purgativ shih bark shih"
prirje,Në
amerikan,janki ( keq )
"amë,",shih burim: shihmatkë: shih vëzorë: vshih
baballëk:,shih-shul: shih kufi
"amë,","shiherë,"
amënor,shih amtar: shih rrënjësor
amësi,mëmësi:
amësim,"poet shih erë, E"
amësor,shih amtar: sh rrënjësor
amësht,"(i, e) 'amët G), pashijë 0, barë 0,"
zbarët,"(i), fig bar: 0"
amët,"(i,e) shih lagësht Cd): shih ndenjur Q"
amëz,shih afsh E
amiant,"asbest, gur leshi Qiri, mëndafshi,"
pambuku),E
amidon,shihmisështë
amoral,shih pamoralshëm: G) Kr dh
amoralshëm,(i) shih pamoralshëm 0
amorf,shih paformë (i) : :
amortizim,shih zbutje: shih dobësim
amortizoj,shih:zbus: Shih: dobësoj'
amortizuar,"(i, e) shik zbutur di ab"
dobësuar,(i) pa
amortizues,shih zbutës 5 u
analizë,"zbërthim, kori"
amshim,shih përjetësi to
amshoj,"përjetësoj: amshohem shih përse,"
aishuar,"(i, e) shih përjetshëm Qe"
amshueshmëri,Shih përjetësi
amtar,"amënor, AmSOr i Ja"
amtol,shik kullon: Shik bie
amulli,shih plo ogështi
amullim,shih plo gështi
amullt,"(i,e) shik ndënjur GJ fi 2 shih parat"
amvisë,"zonjë shtëpie, shtëpiake, nikoqir,"
krahin:,shtëpresë
